Kontiopuiston lentopallokenttä|60.361504,25.09246
Päiväkoti Pihlaja|60.19426,24.899931
Päiväkoti Tilhi|60.264267,25.006157
Päiväkoti Tuuli|60.20451,24.891245
Päiväkoti Susanna|60.197613,24.922241
Leikkipuisto Vähätupa|60.233105,24.853159
Päiväkoti Muusa|60.206722,24.856956
Päiväkoti Koivikko|60.20929,24.967155
Päiväkoti Tapanila|60.26441,25.02173
Leikkipuisto Laurinniitty|60.231785,24.877708
Päiväkoti Pacius|60.196434,24.893328
Päiväkoti Ruskeasuo|60.19824,24.907257
Päiväkoti Seulanen|60.275627,24.998425
Leikkipuisto Rantapuisto|60.196434,24.893328
Leikkipuisto Ulvila|60.206696,24.865198
Leikkipuisto Jakomäki|60.260345,25.079618
Päiväkoti Suvi|60.25364,24.996006
Leikkipuisto Nuoli|60.229076,24.86258
Daghemmet Degerö Småbarnsskola|60.175766,25.03868
Päiväkoti Katiska|60.203075,25.125387
Päiväkoti Kukkaniitty|60.21978,25.092527
Päiväkoti Haikara|60.231148,25.06585
Päiväkoti Villa Familiaris|60.210087,25.159698
Päiväkoti Kivilinna|60.24145,25.070456
Päiväkoti Auringonpilkku|60.2024,25.148138
Päiväkoti Humikkala|60.228653,25.095602
Ryhmäperhepäiväkoti Kimalainen|60.27353,25.041233
Päiväkoti Hiekkalinna|60.201874,25.1448
Päiväkoti Meritähti|60.22188,25.142256
Päiväkoti Karavaani|60.20901,25.124237
Leikkipuisto Kurranummi|60.26763,25.016565
Päiväkoti Herukka|60.207474,25.07886
Päiväkoti Laakavuori|60.239296,25.109514
Päiväkoti Keula|60.208576,25.128817
Päiväkoti Auringonkukka|60.22743,25.033073
Päiväkoti Leipuri|60.22355,25.065058
Päiväkoti Kalkkilaiva|60.200798,25.143372
Päiväkoti Kontula|60.234905,25.08701
Leikkipuisto Nurkka|60.270813,25.05704
Päiväkoti Ruuti|60.244946,25.076511
Päiväkoti Merirasti|60.20277,25.119596
Päiväkoti Kurki|60.231228,25.071571
Leikkipuisto Pohjois-Haaga|60.22883,24.896776
Ryhmäperhepäiväkoti Lemmikki|60.24497,25.007725
Leikkipuisto Jalopeura|60.275494,24.986805
Päiväkoti Savotta|60.27254,25.068752
Päiväkoti Lakka|60.20759,25.082935
Päiväkoti Nestori|60.225334,24.957323
