Kontiopuiston lentopallokenttä|60.361504,25.09246
Maapallonpuisto|60.170746,24.728384
Suvelan asukaspuisto|60.203823,24.67102
Puisto, lähivirkistysalue tai vastaava|60.284313,25.101349
Kulosaaren metroasema|60.189083,25.008
Myllypuron reliefi|60.224182,25.073467
Työväenopiston Espoonlahden aluekeskus, Soukka|60.138046,24.672632
Sepänkylän kenttä|60.201366,24.744162
As Oy Kyyhkysmäki 13|60.2288,24.807035
Puisto, lähivirkistysalue tai vastaava|60.30266,25.127415
Puisto, lähivirkistysalue tai vastaava|60.249435,25.112816
Kouluravintola, Pohjois-Haagan aa|60.226887,24.891623
Aurinkolahden retkiluistelurata|60.201588,25.158215
Kaunissaaren ulkoilualue|undefined,undefined
Iltapäivätoiminta / Marjatta-koulu (ostopalvelu), Varhaiskasvatustoimi 2013-2014|60.226204,24.90227
Kierrätyspiste, Kierrätyskatu Vantaa|60.297665,24.954391
Koskelan nuorisotalo|60.21838,24.966785
Ojalehdonpuiston lentopallokenttä|60.320705,25.0555
Iltapäivätoiminta / Roihuvuoren srk: Tammisalon kirkko, Helsingin seurakuntayhtymä 2013-2014|60.191868,25.061462
Matinraitin päiväkoti, ( Avokas)|60.158077,24.750134
Kulloonrinteen ryhmäperhepäiväkoti|60.24651,24.713024
As Oy Ruotutorppa 4|60.21762,24.77582
Elannon näyttämö|60.17857,24.947582
Ravintola Teatteri|60.167385,24.943567
International school of Helsinki|60.160614,24.91563
Ryhmäperhepäiväkoti Lilliputti, varakoti|60.22662,24.849796
Varia / Koivukylän opetuspisteen pallokenttä|60.31801,25.050844
Päiväkoti Petunia|60.19081,24.837305
Mäkkylän koulu / Boställskolan, liikuntasali|60.22723,24.827616
Perhekoti Kiviholvi|60.243664,25.102108
Alueellinen keräyspiste, Kurttilantie / Kauklahdenväylä|60.184364,24.598696
Puisto, lähivirkistysalue tai vastaava|60.281178,24.957722
Oittaa - Laaksolahti hiihtolatu|60.24198,24.657621
ApartmentHelsinki|60.187492,24.954327
Puisto, lähivirkistysalue tai vastaava|60.333378,25.088234
Iltapäivätoiminta / Vuosaaren srk, seurakunnan tila Myrskylintu, Helsingin seurakuntayhtymä 2013-2014|60.202076,25.155043
Latokasken päiväkoti|60.17818,24.653276
Rastilan venesatama|60.20614,25.113424
Iltapäivätoiminta / Siltamäen ala-aste, Helsingin Icehearts ry 2013-2014|60.271095,24.987747
Pikku Omenan päiväkoti|60.16195,24.741947
Kahluuallas, Leikkipuisto Tervapääsky|60.26048,24.991615
Nokkalanpuiston päiväkoti|60.148563,24.749523
Aalto-yliopisto kemian tekniikan korkeakoulu|60.18315,24.824387
Kahluuallas, Leikkipuisto Mustapuro|60.217697,25.08177
Perhepäivähoito Latokartano-Pukinmäki|60.230385,25.000069
Puisto, lähivirkistysalue tai vastaava|60.35808,25.08062
Puisto, lähivirkistysalue tai vastaava|60.30354,25.109222
Leikkipaikka Ilkantien puisto|60.222775,24.90396
Puisto, lähivirkistysalue tai vastaava|60.339245,25.095945
Ruskeasuon koulu|60.203804,24.907368
Musiikkiopisto, Länsimäki|60.2488,25.114347
Yökyöpeli Karaokebar|60.165478,24.950233
Merirasti-kappeli|60.20277,25.119596
Jalavapuiston siirtokoulu|60.19656,24.669039
24 basement|60.1666,24.950611
Stenbergin puisto|60.214275,24.706848
Kaivomestarinkoulun / Keski-Espoon liikuntahalli|60.20943,24.661875
Johanna Gullichsen|60.162285,24.939434
Erottaja Night|60.16601,24.94447
Korson matonpesupaikka|60.3509,25.059319
Onnentupa päiväkoti, kirjastoautopysäkki|60.208694,24.662497
Työhön kuntoutus/Tekstiilityökeskus|60.186234,24.966782
Puisto, lähivirkistysalue tai vastaava|60.28938,24.987795
Iltapäivätoiminta / Meilahden ala-asteen koulu, Musiikkikoulu Grooven kannatusyhdistys ry|60.192924,24.904226
Tapiolan Urheilupuiston hiekkakenttä|60.17854,24.78396
Alueellinen keräyspiste, Viisaritie 4|60.249,24.809986
Päiväkoti Loimi|60.23957,25.092493
Alueellinen keräyspiste, Maistraatinportti 4|60.198547,24.926115
Pihlajiston ryhmäkoti|60.230385,25.000069
Ravintola Torni|60.16777,24.938631
Kouluravintola, Mellunmäen aa|60.23268,25.121386
Alueellinen keräyspiste, Stensintie / Peuramäentie|60.20546,24.73551
Villa Ruusuniemi|60.21045,25.184372
Hermannin sauna|60.193466,24.965279
Omnia, aikuisopisto Espoon keskus|60.208164,24.658209
Iltapäivätoiminta / Elias-koulu, Elias-Koulun Kouluyhdistys ry 2013-2014|60.157368,24.936579
Koulu- ja opiskeluterveydenhuolto / Kartanonkosken koulu|60.2807,24.958302
Rake-Sali|60.166058,24.94303
Alueellinen keräyspiste, Marjaniementie 58|60.198868,25.07698
Alueellinen keräyspiste, Vanha Muuralantie / Gumbölentie|60.215237,24.628696
PerformanceSirkus|60.16189,24.90419
Kahluuallas, Leikkipuisto Mäkitorppa|60.228897,24.960333
Daghemmet Tallbo|60.185844,24.89493
Konalan puiston koirapuisto|60.234123,24.857594
Hoivakoti Karoliina|undefined,undefined
Puisto, lähivirkistysalue tai vastaava|60.269634,24.837042
Iltapäivätoiminta / Laakavuoren ala-aste / Upponallet/Viekko -ryhmä /  2 toimintayksikkö 334001, työpiste 100022, Sosiaalitoimi|60.24059,25.108688
Puisto, lähivirkistysalue tai vastaava|60.281338,24.913078
Leikkipaikka Niemenmäentie puistokulmaus|60.20418,24.885422
Puisto, lähivirkistysalue tai vastaava|60.32116,25.106386
Ravintola Solna|60.197292,24.87847
Perhepäivähoito Kampinmalmi-Lauttasaari-Töölö|60.162838,24.913282
Odilammen uimaranta|60.303493,24.76921
Mediverkko Hoivapalvelut Oy|60.195286,24.89149
Puisto, lähivirkistysalue tai vastaava|60.32415,24.839432
Itäkeskuksen asiakaspalvelupiste|60.2101,25.07753
Huvilinnanaukio|60.21551,24.807924
Lintuparatiisi|60.20678,24.97486
Sarvaston koirapuisto|60.16976,25.059874
Leikkipaikka Perhetalo Kajuutta|60.20136,25.139967
Rajasaaren talviuintipaikka|60.181007,24.908747
Yleinen osasto|60.181713,24.950155
Puisto, lähivirkistysalue tai vastaava|60.321976,24.859077
As Oy Myötätuulenmäki 5|60.162052,24.61478
Koulu- ja opiskeluterveydenhuolto / Kanniston koulu, vaiheet 1 ja 2|60.327755,24.861189
Torpparinmäen peruskoulu, kouluterveydenhuolto|60.263664,24.9505
Puisto, lähivirkistysalue tai vastaava|60.347385,25.134073
Helsingin Konservatorio|60.1622,24.914797
Hanna Sarén Atelier|60.159756,24.94612
Citykoti.com Downtown City Apartments|60.167988,24.924671
Iltapäivätoiminta / Ylä-Malmin peruskoulu / Onni -ryhmä (EAUT) /  2 toimintayksikkö 334001, työpiste 100022, Sosiaalitoimi|60.255093,25.002724
Puisto, lähivirkistysalue tai vastaava|60.279213,24.782883
Puisto, lähivirkistysalue tai vastaava|60.25965,24.78079
Huvilan kahvila|60.17464,24.933771
Lemminkäisentien pallokenttä|60.320145,25.094603
Kesähostelli Karavaani/Rastila Camping Helsinki|60.20818,25.12041
Alueellinen keräyspiste, Kilonrinne / Kilontie|60.220505,24.777225
Barona-arena|60.178226,24.785206
Visapolun asumispalvelut|60.32124,24.87859
Leikkipaikka Krankanpuisto|60.22442,24.90352
Gaudete|60.16382,24.93808
Länsimäen koulu, Ylläksen lentopallokenttä|60.24872,25.113337
Daghemmet Månsas Småbarnsskola|60.23222,24.936596
Päiväkoti Himmeli|60.2708,24.995733
As Oy Nissinmäentie 7|60.18061,24.616673
Teatterimuseo|60.161896,24.904226
Ateneumin julkisivuveistokset|60.17031,24.944498
Carema Hulda & Malva|60.169254,24.675798
Latokartanon peruskoulu, kouluterveydenhuolto|60.231262,25.033005
Kulkuspuiston pallokenttä / jäärata|60.24803,24.782383
Vammaispalvelut/kehitysvammahuolto (vammaispalvelutoimisto)|60.319206,25.060472
Alueellinen keräyspiste, Sääskitie / Perhotie|60.34501,25.133087
Rakennusvalvontakeskus|60.205524,24.65526
Ymmerstanmäki|60.20446,24.7089
Radisson Blu Seaside Hotel|60.16215,24.924665
Leikkipaikka Paloheinän leikkikenttä|60.24866,24.936186
Puisto, lähivirkistysalue tai vastaava|60.275158,25.111876
Keski-Espoon liikunta- ja uimahalli, työväenopiston opetuspaikka|60.209396,24.659964
Puisto, lähivirkistysalue tai vastaava|60.29825,24.934896
Lilinkotisäätiö / Viertokoti|60.21256,24.879404
Verkkokauppa.com|60.156227,24.921259
Puisto, lähivirkistysalue tai vastaava|60.275116,24.821815
Korea House|60.172848,24.95705
Puisto, lähivirkistysalue tai vastaava|60.328743,25.051495
Kurkijoenpuisto, P|60.206074,24.806988
HTC Helsinki (Sodexo)|60.161118,24.903976
Iltapäivätoiminta / Pelimannin ala-aste, Vesaisten Helsingin piiri ry |60.235744,24.879463
Ravintola Alia|60.181362,24.994196
Rajakylän jalkapallohalli|60.24883,25.109346
Mikkolan Vega koulun liikuntasali|60.34075,25.095116
Avoin syli (Kivipenkki)|60.19116,24.884115
Espoon Kruunu Oy, toimitilat|60.21609,24.818113
Rautkallion koulun pallokenttä|60.322414,25.06647
Silmä|60.16524,24.948595
Siikajärven leikkipaikka|60.265938,24.523859
Kontulan urheiluhalli|60.238354,25.083698
Laajasalon väestöhälytin|60.1687,25.04029
Kirstin koulu liikuntasali|60.201725,24.668571
Alueellinen keräyspiste, Käpyläntie 41|60.22354,24.960539
Matinkylän päiväkoti|60.15494,24.74319
Snellmanin ala-aste, kouluterveydenhuolto|60.16117,24.938715
Eestinmetsän päiväkoti |60.164936,24.69034
Kierrätyspiste, Hernesaaren Romu Oy|60.25668,25.057304
Viherlaakson kotihoito|60.227703,24.741447
Puisto, lähivirkistysalue tai vastaava|60.279926,25.084003
Soukan venesatama (Klobben)|60.1355,24.650057
Vuorilahden kurssikeskus|60.16106,25.045702
Alueellinen keräyspiste, Santamäentie/Sahratie|60.265938,24.800278
Puisto, lähivirkistysalue tai vastaava|60.293514,25.02531
Puisto, lähivirkistysalue tai vastaava|60.286312,25.12473
Iltapäivätoiminta / Yhtenäiskoulu, Opetustoimi |60.214165,24.94132
Puisto, lähivirkistysalue tai vastaava|60.326443,25.057682
Kahluuallas, Leikkipuisto Soihtu|60.25443,24.932364
Aino Acktén puiston koirapuisto|60.225178,24.887243
As Oy Riiantie 1|60.187416,24.59271
Puisto, lähivirkistysalue tai vastaava|60.283134,25.091549
Ullanlinnan laituri|60.154404,24.96019
As Oy Kaskenpolttajankuja 2-3|60.175156,24.66275
New Bamboo Center|60.16799,24.935928
Narrin näyttämö / Nuorten Toimintakeskus Happi|60.18738,24.9688
A. I. Virtasen muistomerkki|60.22431,24.873117
Gardenia-Helsinki|60.224247,25.016958
Vantaan Energia|60.29453,25.010069
As Oy Juvanpuisto 4|60.275154,24.751139
Alueellinen keräyspiste, Soraharjuntie / Kiviportintie 50|60.223343,25.093277
Kivistön koulun liikuntasali|60.316288,24.845514
As Oy Kilonpuistonkatu 6|60.216454,24.784883
Aarnivalkean koulu|60.182316,24.806713
Bygdehemmet|60.226013,25.11214
Ravintola Pyysaari|60.179718,25.023241
Kierrätyspiste, Aarnivalkeantie 14|60.182846,24.807594
Kivet /Suihkukaivo|60.241592,24.885418
Alueellinen keräyspiste, Myllärintanhua 1|60.220215,25.049807
Alueellinen keräyspiste, Kukkaromäki / Mikkelänkallio|60.208553,24.635626
Etelän psykiatria- ja päihdekeskus/ Päihdepalvelut|60.187595,24.963518
Työkykyselvitys|60.185505,24.963215
Kaivokselan päiväkoti|60.26639,24.867825
Koivuviidan lentopallokenttä|60.184258,24.783653
Leikkipaikka Artturi Kanniston puisto|60.218,24.898397
Hopeatuvan päiväkeskus|60.17213,24.721636
Puisto, lähivirkistysalue tai vastaava|60.28876,25.043568
Kilonpuiston lastentalon avoinpäiväkoti|60.21379,24.78851
Kappelin yleisövessa|60.167297,24.94969
Puisto, lähivirkistysalue tai vastaava|60.327583,25.026388
Leikkipaikka Saukonpaadenpuisto|60.15839,24.908522
Aussie Bar|60.170414,24.932861
As Oy Pikkulinnunreitti 25|60.230957,24.814621
Kalapuisto|60.158882,24.739216
Puisto, lähivirkistysalue tai vastaava|60.290577,25.102453
Jalavapuisto|60.196484,24.66383
Hakunilan kalliosuojan telinevoimistelusali|60.27569,25.100582
Q-teatteri|60.17396,24.923683
Alueellinen keräyspiste, Suopurontie / Kylvötie|60.284824,24.742516
Kotiateriapalvelu|60.22033,24.943909
Meriusvan kenttä|60.156376,24.631557
Nuottamiehenpuisto|60.1511,24.743832
Galleria Rantakasarmi|60.14874,24.985435
Punakivenpuiston koira-aitaus|60.31926,24.84787
Senaatintori pohjoinen, WLAN-tukiasema|60.17017,24.952911
Ravintola Janoinen Lohi|60.185017,24.917315
Islamilainen päiväkoti|60.19868,25.030142
Suviseppele|60.180466,24.918156
Puisto, lähivirkistysalue tai vastaava|60.328526,25.015022
Iltapäivätoiminta / Roihuvuoren srk: Tammisalon kirkko, Helsingin seurakuntayhtymä|60.191868,25.061462
Rakentaminen, Suomi.fi|undefined,undefined
Sellosali|60.217834,24.808561
Kouluravintola, Jakomäen aa|60.261127,25.078753
Aalto-yliopisto perustieteiden korkeakoulu|60.186382,24.827127
Pitkäjärven VPK|60.250774,24.7683
Numersinkatu|60.2165,24.808407
Flamingo Waterpark and Spa & Wellness|60.29031,24.969553
As Oy Finnoontie 12|60.16983,24.69168
Pekka-koira|60.159035,24.9584
Lukupuron koira-aitaus|60.18228,24.761934
Päiväkoti Nuotti|60.245903,24.98772
As Oy Liisankuja 1|60.153187,24.74441
Eronen|60.1613,24.941866
Katkaistu elämä, Sankarihauta|60.15836,24.872671
Stara, Helsinki|60.206936,24.917494
Matinmetsä|60.155647,24.741528
Tölö specialiserings gymnasium, hälsovård för studerande|60.179214,24.921833
Koulumäen koulun kenttä|60.14475,24.667831
Puisto, lähivirkistysalue tai vastaava|60.320538,25.084019
Portinvartija|60.172127,24.951593
Alueellinen keräyspiste, Luomankuja 2|60.171265,24.7605
Pihlajamäen luonnonjääkenttä|60.238922,25.002018
Alueellinen keräyspiste, Halkosuontie 144 / Kamppiaistie 2|60.242443,24.921719
Puisto, lähivirkistysalue tai vastaava|60.358356,25.09149
Alueellinen keräyspiste, Helsingintie / Köysitie|60.22323,24.744026
Suomalaisten sotilaiden hauta|60.165695,24.940058
Alueellinen keräyspiste, Maisematie / Laaksotie|60.321785,25.012756
Marttojen Juhlatilat|60.209675,24.883364
Kierrätyspiste, Hakunilan Huolto Oy|60.279488,25.10869
Hellsten Helsinki Parliament|60.174595,24.928024
Tapiolan terveysasema|60.17847,24.7978
Karhusaaren uimaranta|60.166954,24.829283
Vallinojan koulun pallokenttä|60.368813,25.073034
Alueellinen keräyspiste, Tuukkalantie 2|60.2403,25.099968
Espoon yhteislyseon koulu, työväenopiston opetuspaikka|60.18875,24.594767
Jokivarren pienryhmäkoti|60.350876,25.127586
Musiikkiopisto, Simonkallio|60.307083,25.023857
Iltapäivätoiminta / Munkkivuoren ala-aste, Helsingin Jalkapalloklubi ry|60.20608,24.871637
Jyrkinkallion koirapuisto|60.224823,24.848072
Päiväkoti Saukko|60.159332,24.908377
As Oy Suvelantie 8|60.203415,24.679392
Oulunkylän liikuntapuiston tenniskentät|60.2338,24.962547
Kamomilla ryhmäperhepäiväkoti|60.22563,24.652939
HCN: Kultarinne Oy/Palvelukoti Berttas|60.230885,24.841656
Rödskogs skola|60.29651,24.691574
Puisto, lähivirkistysalue tai vastaava|60.340816,25.106306
Artturi ja Ida koti|60.22306,25.070795
Etelän sosiaaliohjaus 1|60.18139,24.946894
Puisto, lähivirkistysalue tai vastaava|60.294064,24.903135
Alueellinen keräyspiste, Torpparimäentie 15 / Viskaalintie|60.26249,24.950338
Kehärata projektitoimisto|60.2942,25.03891
Daghemmet B.É. von Schantz|60.15821,24.936361
Kuraattoripalvelut / Päiväkummun koulu|60.32455,25.09905
Solvalla-Swinghill|60.298714,24.55467
Alueellinen keräyspiste, Halkosuontie / Rohkatie|60.243797,24.933252
Globe Hope Shop|60.170055,24.935835
Finnoon luontopolku|60.153137,24.711498
Scandic Continental|60.178974,24.927565
Puisto, lähivirkistysalue tai vastaava|60.286865,25.117718
Iltapäivätoiminta / Pihkapuiston ala-aste, Kalliolan Nuoret ry 2013-2014|60.25182,24.8536
Landbonkenttä|60.26865,25.19789
Perhepäivähoito Mellunkylä|60.231228,25.071571
Leikkipaikka Mätäspolun puistikko|60.265057,25.082935
Gourmetpizza Carlito´s|60.168625,24.94706
Pikkupalmun perhekoti|60.272446,25.106245
Puisto, lähivirkistysalue tai vastaava|60.2799,24.900864
Iltapäivätoiminta / Hiidenkiven peruskoulu, Nano; lasten ja nuorten Kerhotoiminta Oy 2013-2014|60.262794,25.019796
Harjupuiston pallokenttä / jäärata|60.317585,25.00472
Puisto, lähivirkistysalue tai vastaava|60.320477,25.011707
Puisto, lähivirkistysalue tai vastaava|60.2942,25.060282
Iltapäivätoiminta / Mellunmäen ala-aste, Opetustoimi|60.23268,25.121386
Puisto, lähivirkistysalue tai vastaava|60.316742,25.087067
Kangasalantien yleinen väestönsuoja|60.19698,24.955467
Metropolia Myyrmäen liikuntasali|60.25863,24.844032
Odottamaton vieras|60.167606,24.939243
Alueellinen keräyspiste, Riskutie 48|60.227627,25.103212
Alppilan yläasteen koulu 2013-2014|60.19222,24.939
Puisto, lähivirkistysalue tai vastaava|60.270447,25.089128
Laurinlahti, kirjastoautopysäkki|60.14118,24.654135
Tonttiyksikkö|60.20615,24.65428
Mårtensbro skola|60.152004,24.654705
Kouluravintola, Sibelius lukio|60.1745,24.956417
Länsimäen koulu, Pallaksen kenttä|60.24755,25.113586
Haukilahden koulun kenttä|60.166103,24.764717
Omenahotelli Yrjönkatu|60.16768,24.93755
Galleria Alkovi|60.187466,24.953678
Alueellinen keräyspiste, Parrukuja 8|60.23308,24.756657
Tapiolan Urheilupuisto|60.17854,24.78396
Myllykoskenpuiston lentopallokenttä|60.320038,25.082985
Nuorten tieto- ja neuvontapiste yESBOx Omena|60.162247,24.738144
Muu galleria|60.163906,24.930605
Ritarihuone|60.16965,24.956263
Lapponia Jewelry|60.168484,24.95131
Chef&Sommelier|60.157658,24.942575
In Espoo|60.21728,24.809303
Hietalahdenaltaan venesatama|60.161606,24.929296
Kouluravintola, Roihuvuoren aa, sk2 |60.20559,25.083181
Reunan kentän lentopallokenttä|60.385166,24.840168
As Oy Lakiaukio 3|60.21579,24.644257
Kulomäen urheilupuistoalueen koripallokenttä|60.34494,25.057552
Kaparen|60.080906,24.675266
Paavalinkirkko|60.197487,24.960262
Espoonlahden urheilupuiston ministadion|60.144863,24.660612
Esirippu / Ida Aalbergin muistomerkki|60.17305,24.943718
Madetojan palvelutalo/Näpsäkkä päivätoiminta|60.243847,24.991747
Sosiaali- ja terveyspalvelujen neuvonta |60.18139,24.946894
Iltapäivätoiminta / Pakilan srk: Torpparinmäen peruskoulu / korttelitalo, Helsingin seurakuntayhtymä 2013-2014|60.25872,24.950687
Vapaalanaukeen puiston pallokenttä|60.26451,24.818838
Leikkipaikka Osmonlehto|60.210873,24.94921
Kuurna|60.17028,24.95817
Vammaisten sosiaalityön läntinen toimipiste|60.229687,24.883745
Puisto, lähivirkistysalue tai vastaava|60.28993,25.039158
Puheterapia Kivenlahden terveysasema|60.154816,24.635645
Alueellinen keräyspiste, Vehkalahdentie / Varjakanvalkama 15|60.21584,25.116272
Ilmatar|60.205616,24.91858
Furuvikin huvila|60.15981,25.060791
Kivelän vanhustenkeskus /Päivätoiminta Solstrålen|60.170177,24.924612
Kaarle Xll|60.165653,24.947351
Iltapäivätoiminta / Helsingin kristillinen koulu, Helsingin kristillisen koulun kannatusyhdistys ry|60.24786,24.984253
Kallvikin uimaranta ja avanto|60.162052,24.593151
Palvelukoti Mäntyranta|60.206795,24.801142
Leikkipaikka Sähköttäjänpuisto|60.19703,24.940037
Kimset / Montessori pk Pihla|60.256187,25.011736
Metallica-paja 2013-2014|60.25858,25.058264
Eedi Asumispalvelut Oy|60.223343,24.778885
Romano Missio ry / Päiväkummun lastenkoti|undefined,undefined
Alueellinen keräyspiste, Sänkitie 4|60.234543,24.839743
Toimiva koti|60.218067,24.961103
Leikkipaikka Väinämöisenpuistikko|60.171116,24.917944
Päiväkoti Floora|60.20895,24.971918
Puisto, lähivirkistysalue tai vastaava|60.24561,25.1145
Urho Kekkosen museo Tamminiemi|60.18852,24.884773
Pikkukosken uimaranta|60.2278,24.98226
Mediakeskus|60.21015,24.943836
Päiväkoti Kolkka|60.22658,24.85566
Lähderannan hammashoitola|60.243942,24.744154
Martinlaakson koulun koripallokenttä|60.27681,24.842897
Heka-Vuosaari Oy|60.204792,25.134842
Louhipuiston lentopallokenttä|60.273148,24.856884
Kivenlahden kenttä|60.14986,24.64256
Helsingin palvelualojen oppilaitos, hotelliyksikkö 2013-2014|60.206497,25.0592
Ravintola Suomenlinnan Panimo|60.14882,24.984661
Vuosaaren Helander-koti|60.215202,25.134272
Leikkipaikka Temppeliaukio|60.173428,24.926226
Biet|60.167473,24.729763
Postipuun koulu liikuntasali|60.22359,24.824568
As Oy Itsehallintotie 4|60.21175,24.821709
Asuntotuotantotoimisto, Helsinki|60.19813,24.93832
Päiväkoti Mammolina|60.247715,24.851631
Kauppakeskus Kluuvi|60.169228,24.947958
Alueellinen keräyspiste, Rajametsäntie 34|60.229202,24.93368
Puistolan VPK|60.2706,25.057745
Teetä kahdelle|60.191284,24.883593
As Oy Saarniraiviontie 6|60.198307,24.664677
Pakilakoti|60.241673,24.923418
Terveyskeskussairaala Tammikumpu|60.224888,24.708485
Suojaava taivas|60.161114,24.916061
Marjaniemen talviuintipaikka|60.198715,25.076584
Päiväkoti Eira|60.15577,24.936403
Palvelutalo Domuksen ryhmäkoti|60.169342,24.924974
Etelä-Kontulan yhteiskalliosuoja|60.232727,25.087185
Pakilan väestöhälytin|60.243153,24.9382
Leikkipaikka Tuorinniemenpuisto|60.185917,25.036438
Puisto, lähivirkistysalue tai vastaava|60.281033,24.851606
Puisto, lähivirkistysalue tai vastaava|60.340614,25.10866
Iltapäivätoiminta / Suomalais-venäläinen koulu, Suomen valtio / Suomalais-Venäläinen koulu 2013-2014|60.238308,24.89931
Kannelmäen skeittipaikka, leikkipuisto Trumpetti|60.237366,24.867472
Kierrätyspiste, Vantaanportinkatu 4|60.290962,24.9608
Crescendo / Vuoden 1918 Kansalaissodan uhrien muistomerkki|60.19073,24.926043
Kuusikon päiväkoti|60.28301,25.06467
Puisto, lähivirkistysalue tai vastaava|60.33949,25.103188
Viertolan koulun koripallokenttä|60.29147,25.020374
Työväenopiston Espoon keskuksen aluekeskus, Suvis|60.20087,24.671087
Taidejulistegalleria|60.161762,24.903687
Munksnäs lågstadie- och högstadieskola, skolhälsovård|60.19969,24.880444
Alueellinen keräyspiste, Toppelundinportti 2|60.162262,24.785688
Alueellinen keräyspiste, Peltotie / Jupperinaukio|60.258457,24.764885
Läntinen vapaaehtoistyön keskus|60.22819,24.885447
Maunulan Helander-koti|60.23431,24.938759
Munkkivuoren ala-asteen koulu 2013-2014|60.20608,24.871637
Linnanmäki|60.18835,24.940538
Äiti ja lapsi / Tulevaisuus|60.195133,24.95374
Järvitorpan päiväkoti|60.148296,24.672836
EMMA - Espoon modernin taiteen museo|60.17898,24.795868
As Oy Markkinakatu 10|60.162018,24.735588
Kierrätyspiste, Stena Recycling Vantaa|60.29317,25.073298
Gymnasiet Svenska normallyceum 2013-2014|60.163277,24.950687
Päiväkoti Strömsinlahti|60.200638,25.061949
Puisto, lähivirkistysalue tai vastaava|60.33707,25.098927
Kalevanvainion leikkipaikka|60.18348,24.804201
Alueellinen keräyspiste, Oulunkyläntori|60.22942,24.965693
Eestinmetsän koulu|60.223206,24.82475
Puisto, lähivirkistysalue tai vastaava|60.296486,25.020973
Kauniaisten pujottelumäki|60.220665,24.702967
Kivenlahden kotihoito|60.15492,24.63386
Muuralan kotihoito|60.20247,24.653418
Greater Helsinki Promotion Ltd Oy|60.16699,24.922295
Villa Haka|60.198994,24.865192
Johanneksen luonnonjääkenttä|60.162422,24.9448
Puisto, lähivirkistysalue tai vastaava|60.301113,24.937006
Alueellinen keräyspiste, Lippajärventie 2|60.22454,24.706503
O. W. Louhivuori|60.172005,24.923166
Vastaanotto-osasto 3 Meripihan Koralli|60.19159,25.030748
Väylänrinne, puistotäti|60.191418,25.060795
Kannelkoti|60.246605,24.880705
Stupido-Shop Record Store|60.163048,24.939793
Brahenpuiston koulu|60.188057,24.951694
Mattlidens skola, työväenopiston opetuspaikka|60.163956,24.748865
HUS-Röntgen Kirurginen sairaala|undefined,undefined
Ohjattu liikunta, Käpylinna|60.21191,24.943092
Lintulaakson koulu liikuntasali|60.23423,24.819998
Agroksenmäen holvikellari|60.192356,24.975573
Teerenpeli Kamppi|60.170414,24.932861
Laajasuon liikuntapuiston luonnonjääkenttä|60.22226,24.899612
Hagelstamska skolan (ruotsinkielinen)|60.214394,24.724127
Iltapäivätoiminta / Kulosaaren ala-aste, Sari Wicklund|60.185284,25.008738
Kattilajärven uimaranta|60.298595,24.6203
Galleria Hanna Kaarina|60.158253,24.949848
Minna Parikka|60.168762,24.948805
Riilahdenpuiston koira-aitaus|60.143936,24.67738
Kettutien palvelutalo|60.206264,25.03792
Iltapäivätoiminta / Tehtaankadun ala-aste, Nano; lasten ja nuorten Kerhotoiminta Oy|60.158474,24.94387
Kouluravintola, Herttoniemen aa|60.203884,25.035465
Omnia, ammattiopisto Perkkaa|60.215355,24.819145
Hostel Erottajanpuisto (Refecta Ab)|60.164978,24.9415
Drumsö lågstadieskola, skolhälsovård|60.15734,24.877213
Haagan väestöhälytin|60.21822,24.898777
Villipuutarha|60.186317,24.951986
Provokante Store -High Fashion|60.16655,24.94256
Martinkallion koulu, työväenopiston opetuspaikka|60.157867,24.677692
Hotel Anna|60.162914,24.942764
Esperi Hoivapalvelukeskus Tilkka|60.199894,24.899752
Yllätys|60.191807,24.908176
Jakomäen kentän tenniskentät|60.261738,25.080706
Pohjoisen psykiatria- ja päihdekeskus/Päihdepalvelut|60.187595,24.963518
Alueellinen keräyspiste, Pakilantie 66|60.2416,24.925964
Hämeenkylän koulun liikuntasali|60.26945,24.81583
Jalavanpuiston koulu liikuntasali|60.196182,24.665545
Alueellinen keräyspiste, Oravarinne / Eestinmalmintie|60.16833,24.692362
Comodo Apartments|60.186974,24.920338
La Table|60.164455,24.93237
Pohjoisen lastensuojelu Malmi 1|60.25048,25.012945
Sibelius lukio, opiskeluterveydenhuolto|60.1745,24.956417
Ruoholahden kanavan venesatama|60.1615,24.911304
Helsingin 450-vuotismitali|60.20116,25.149431
Soihtu / Miina Sillanpään muistomerkki|60.180527,24.9463
Alasoukan kenttä|60.13453,24.672218
Pikku-Helena ryhmäperhepäiväkoti|60.159164,24.740925
Kattilaniemen leirikeskus|60.298733,24.621927
Hakunilanrinteen koulun pieni liikuntasali|60.273937,25.099998
Alueellinen keräyspiste, Oravannahkatori 1|60.175537,24.792953
Korson tennis / jääkiekkokaukalo|60.356476,25.070435
Kahluuallas, Leikkipuisto Taivallahti|60.176365,24.919065
Puisto, lähivirkistysalue tai vastaava|60.289494,24.913725
Johanneksenkenttä|60.162754,24.945826
Kauniaisten kaupungin nuorisotalo|60.213947,24.72213
Yhtenäiskoulun lukio|60.214165,24.94132
Puisto, lähivirkistysalue tai vastaava|60.29492,25.056087
Pohjoisen sosiaaliohjaus 2|60.234787,24.936104
Botby grundskola, skolhälsovård|60.218903,25.091803
Iltapäivätoiminta / The English School, Englantilaisen koulun säätiö 2013-2014|60.193573,24.89586
Portängens gruppfamiljedaghem|60.19772,24.768581
Kuninkaanmäen suunnistusalue|60.311222,25.098593
